                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0076,                0.63668,                0.93245,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.0976,                0.66358,                0.94276,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.0084,                0.60597,                0.95725,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010646,              0.0010646,              0.0010646
                     76,                0.99916,                 0.5751,                0.92965,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010564,              0.0010564,              0.0010564
                     77,                0.95795,                0.60691,                0.92871,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.0275,                0.66081,                0.93669,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     79,                0.99598,                0.63288,                0.94067,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010316,              0.0010316,              0.0010316
                     80,                 0.9636,                0.59682,                0.91687,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010234,              0.0010234,              0.0010234
                     81,                0.99296,                0.61127,                0.92749,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010151,              0.0010151,              0.0010151
                     82,                 0.9689,                0.60897,                0.94104,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.0155,                0.60648,                0.93097,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.0191,                0.63934,                0.92602,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.0021,                0.57097,                0.91906,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.0097,                0.64847,                0.93021,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
                     87,                0.99189,                0.63365,                0.93668,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00096561,             0.00096561,             0.00096561
                     88,                0.97855,                0.62251,                0.91908,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00095736,             0.00095736,             0.00095736
                     89,                0.94693,                0.59718,                0.93233,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00094911,             0.00094911,             0.00094911
                     90,                0.98668,                0.59379,                0.94131,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00094085,             0.00094085,             0.00094085
                     91,                  1.043,                0.58419,                0.92787,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,              0.0009326,              0.0009326,              0.0009326
                     92,                0.99706,                0.58003,                0.92393,                0.00205,                0.13333,                0.00152,                0.00054,                    nan,                    nan,                    nan,             0.00092435,             0.00092435,             0.00092435
